fdc_id,food_name,description,calories,protein_g,fat_g,carbs_g,sugar_g,fiber_g,sodium_mg,potassium_mg,phosphorus_mg,canonical_name,gi_value,gi_category,gi_match_type
167513,pillsbury,"pillsbury, cinnamon rolls with icing, refrigerated dough",330.0,4.34,11.27,53.42,21.34,1.4,780.0,,,pillsbury,,unknown,unmatched
167514,kraft foods,"kraft foods, shake n bake original recipe, coating for pork, dry",377.0,6.1,3.7,79.8,0.0,0.0,2182.0,,,kraft foods,,unknown,unmatched
167515,george weston bakeries,"george weston bakeries, thomas english muffins",232.0,8.0,1.8,46.0,0.0,0.0,345.0,,,george weston bakeries,,unknown,unmatched
167516,waffles,"waffles, buttermilk, frozen, ready-to-heat",273.0,6.58,9.22,41.05,4.3,2.2,621.0,126.0,388.0,waffles,,unknown,unmatched
167517,waffle,"waffle, buttermilk, frozen, ready-to-heat, toasted",309.0,7.42,9.49,48.39,4.41,2.6,710.0,138.0,444.0,waffle,,unknown,unmatched
167518,waffle,"waffle, buttermilk, frozen, ready-to-heat, microwaved",289.0,6.92,9.4,44.16,4.5,2.4,663.0,110.0,410.0,waffle,,unknown,unmatched
167519,waffle,"waffle, plain, frozen, ready-to-heat, microwave",298.0,6.71,9.91,45.41,5.04,2.4,682.0,148.0,410.0,waffle,,unknown,unmatched
167520,pie crust,"pie crust, cookie-type, graham cracker, ready crust",501.0,5.1,24.83,64.3,18.13,1.9,471.0,113.0,117.0,pie crust,,unknown,unmatched
167521,pie crust,"pie crust, cookie-type, chocolate, ready crust",484.0,6.08,22.42,64.48,26.31,2.7,503.0,187.0,120.0,pie crust,,unknown,unmatched
167522,pie,"pie, dutch apple, commercially prepared",290.0,2.17,11.5,44.54,22.02,1.6,200.0,76.0,29.0,pie,,unknown,unmatched
167523,pie crust,"pie crust, deep dish, frozen, unbaked, made with enriched flour",468.0,5.52,28.74,46.79,0.0,1.4,353.0,91.0,68.0,pie crust,,unknown,unmatched
167524,waffles,"waffles, chocolate chip, frozen, ready-to-heat",297.0,5.8,10.1,45.68,13.1,1.5,529.0,74.0,272.0,waffles,,unknown,unmatched
167525,tostada shells,"tostada shells, corn",474.0,6.15,23.38,64.43,0.0,5.8,657.0,237.0,203.0,tostada shells,,unknown,unmatched
167526,bread,"bread, salvadoran sweet cheese (quesadilla salvadorena)",374.0,7.12,17.12,47.84,24.9,0.7,510.0,350.0,200.0,bread,,unknown,unmatched
167527,bread,"bread, pound cake type, pan de torta salvadoran",390.0,7.06,17.45,51.29,18.1,1.7,390.0,210.0,300.0,bread,,unknown,unmatched
167528,pastry,"pastry, pastelitos de guava (guava pastries)",379.0,5.48,18.5,47.76,17.0,2.2,231.0,103.0,56.0,pastry,,unknown,unmatched
167532,bread,"bread, white wheat",238.0,10.66,2.15,43.91,5.0,9.2,478.0,127.0,103.0,bread,,unknown,unmatched
